id_komentar,author_name,updated_at,text,text_clean
UgzesBXCN8uMZMzi-9x4AaABAg,@rusdian7738,2025-05-17 13:58:20+00:00,Cukup Mulyono jngan lagi Mulyadi,mulyono mulyadi
UgytofJAEBrjUqTDUFV4AaABAg,@tamamap5614,2025-05-17 13:58:12+00:00,anjay klenik maksimal wkwkwk,anjay klenik maksimal wkwkwk
Ugy-UPwq_ri9RZbV2Nl4AaABAg,@hanisa20236,2025-05-17 13:58:02+00:00,Tempo pasti santer soalnya bisnis tempo bidang Medis akan terancam dengan kebijakan kembali ke pengobatan alternatif,tempo santer bisnis tempo bidang medis terancam kebijakan pengobatan alternatif
UgxsvskFgo9a2-oVTLh4AaABAg,@rois-b3t,2025-05-17 13:57:57+00:00,emang betul kdm raja aing rek naon maneh lamun aing nganggap raja ka bapa aing,kdm raja aing rek naon maneh lamun aing nganggap raja kak bapa aing
UgxAE7P5hRVmv4xiJax4AaABAg,@Meimei-tg5zp,2025-05-17 13:57:55+00:00,"Salfok, kakaknya tambah cantik. ❤",salah fokus kakaknya cantik
UgyU8IE-B1UGZ4tKrg94AaABAg,@ShomidDaiAMCFTalaud--gp8js,2025-05-17 13:58:19+00:00,Manusia paling malas saya lihat..persis Dek tokkkkk not only...,manusia malas lihat persis dek tok not only
UgxcEHs3OExxWuFzth54AaABAg,@rpstate9974,2025-05-17 13:57:45+00:00,Ini media yang didanai George Soros bukan sih?,media didanai george soros sih
UgwidrAZEjt8AAejvgZ4AaABAg,@JDFarmy06,2025-05-17 13:57:35+00:00,Bahaya ini... oligarki sedang mencari figur dan wadah baru.... bisa jadi kalo KDM berhasil kekuatan mereka akan pindah ke KDM dan si wiwi bisa dibuang,bahaya oligarki mencari figur wadah kalo kdm berhasil kekuatan pindah kdm sih wiwi dibuang
Ugygg-Q6Qp4rAqFlw-F4AaABAg,@jumadijumadi5832,2025-05-17 13:56:06+00:00,Awas tertipu....sudah ada pengalaman dgn raja Mulyono 😅😅,awas tertipu pengalaman raja mulyono
UgzWQCHco3F843dYgzd4AaABAg,@himahim3278,2025-05-17 13:55:25+00:00,Mulyono jilid 2 kah... 😂😂😂,mulyono jilid kah
Ugyw5rNZB9yuRjI1kNt4AaABAg,@bm2588,2025-05-17 13:55:02+00:00,Bodo amat yg penting pejabat kerja bener ..😂,bodo pejabat kerja
UgwSTtZ6CmHofqdDMMl4AaABAg,@audione6219,2025-05-17 13:54:53+00:00,"Hayuu  orang sunda nyaringgg geura hudang , kawal KDM",hayo orang sunda nyaring geura hudang kawal kdm
UgzXcPxHQI54G4ozC614AaABAg,@rayyanevano7243,2025-05-17 13:54:36+00:00,"Jangan samakan KDM dengan Jokowi apalagi dengan Anis dan Ganjar kalah jauuuhhhhhh,,
Bravo KDM kerja nyata",samakan kdm jokowi anis ganjar kalah bravo kdm kerja nyata
Ugxzt2cEa-XM-L737rR4AaABAg,@hanisa20236,2025-05-17 13:54:34+00:00,KDM tetap mau memberantas praktik penyalah gunaan hibbah yang tidak tepat,kdm memberantas praktik penyalah gunaan hibbah
Ugzpe2-lrOMT9xNub8l4AaABAg,@andreaschandra3352,2025-05-17 13:54:25+00:00,Apa yg salah dengan konten KDM? Kerjanya sdh jelas untuk rakyat. Yg lain boleh ngonten tapi apa diterima masyarakat ? Kerjanya benar gak. KDM sudah teruji dia bukan sekedar konten tapi bukti kerjanya nyata bukan omdo seperti FH yg bisa kritik tapi gak bisa kerja. KDM putra bangsa terbaik bangsa. ❤,salah konten kdm kerjanya rakyat ngonten diterima masyarakat kerjanya kdm teruji sekedar konten bukti kerjanya nyata omong doang fh kritik kerja kdm putra bangsa terbaik bangsa
UgxCjrfKXSWF4noy-UN4AaABAg,@julileo8300,2025-05-17 13:54:34+00:00,"Siapa pun pengkritik KDM untuk saat ini mau salah atau benar kritik nya pasti di Buly netizen maklum lagi Demam KDM, dulu juga waktu jaman Mulyono siapapun yg kritik Jokowi pasti di rujak Netizen",pengkritik kdm salah kritik nya buly netizen maklum demam kdm jaman mulyono kritik jokowi rujak netizen
UgyZ4VkfhIIQ9MzFa094AaABAg,@thevintage6530,2025-05-17 13:53:45+00:00,Yah...KDM gantiin wapres ajalah itu cocok. Wapresnya buang aja kemana gitu,ya kdm menggantikan wapres ajalah cocok wapresnya buang kemana
